ID,Area,Priority,Layer,Preconditions,Steps,Expected
INS-1,Install & smoke,P1,Manual,Fresh Chrome profile,Load unpacked from ledebe-browser-extension/ at chrome://extensions,Loads with no errors; toolbar icon visible
INS-2,Install & smoke,P1,Manual,Extension loaded,Click the toolbar icon,Native side panel opens with 4 tabs (Home/Custom words/Protected words/Settings)
INS-3,Install & smoke,P2,Manual,Extension loaded,Open a non-AI page (e.g. example.com) and a chrome:// page,No crash; fails gracefully; nothing masked
LIF-1,Permissions & lifecycle,P2,Manual,First install,Inspect chrome.storage.sync after install,Default settings present and correct
LIF-2,Permissions & lifecycle,P2,Manual,Settings + custom words set,Restart Chrome,Settings and custom words preserved
LIF-3,Permissions & lifecycle,P3,Manual,Older version installed,Update to this version,Settings/custom words preserved
LIF-4,Permissions & lifecycle,P2,Manual,Editable field focused,Right-click,Context menu shows 'Protect with Ledebe'
DET-1,Detection,P1,Auto-L1,-,Run unit suite,Email/phone/CC(Luhn)/SSN/IP/NINO/APIKEY detected; invalid card & out-of-range IP rejected
DET-2,Detection,P1,Auto-L1,-,Run unit suite,Names (2+ caps w/ stopword filter)/addresses/3+ digit numbers/alnum codes/custom terms detected
DET-3,Detection,P1,Auto-L1,-,Run unit suite,Repeated value reuses one token; different values get different tokens
DET-4,Detection,P1,Auto-L1,-,Run unit suite,Existing [LDB_...] placeholders never re-detected
DET-5,Detection,P2,Auto-L1,-,Run unit suite,Priority: email>inner number; address>house number; CC>generic number
DET-6,Detection,P2,Auto-L1,-,Run unit suite,Short numbers (<3 digits) and lowercase/stopword phrases not flagged
TYP-1,Live typing,P1,Auto-L2/L3,AI host,Type a value then move caret past it,Value masked to placeholder
TYP-2,Live typing,P1,Auto-L2/L3,AI host,Keep caret inside the value being typed,Not masked yet (caret-guard)
TYP-3,Live typing,P1,Auto-L2,AI host,Stop typing on a complete value ~0.8s,Idle auto-protect masks it
TYP-4,Live typing,P2,Manual,AI host,Backspace near a placeholder; undo/redo; arrow-key around it,Text not corrupted; sensible behavior
TYP-5,Live typing,P2,Manual,AI host with IME,Use IME/composition input,No premature masking mid-composition
PST-1,Paste,P1,Auto-L2/L3,scanOnPaste on,Paste text with one then multiple PII items,All masked (first AND second paste)
PST-2,Paste,P2,Auto-L2,scanOnPaste off,Paste raw PII,Left unchanged
PST-3,Paste,P2,Manual,AI host,Paste a 2-3 page document,No freeze; masks; line breaks preserved
HST-1,Host coverage,P1,Manual,-,On ChatGPT: type/paste PII; send; view reply,Composer masks in place; placeholders survive send; reply restores in panel; no console errors
HST-2,Host coverage,P1,Manual,-,Repeat HST-1 on Claude,Same behavior
HST-3,Host coverage,P1,Manual,-,Repeat HST-1 on Gemini,Same behavior
HST-4,Host coverage,P2,Manual,-,Smoke on Perplexity/Copilot/Poe/DeepSeek/Grok,Injects without errors; composer masks
HST-5,Host coverage,P2,Manual,Any AI host,Check inline Ledebe icon in the response action row,Icon present next to Copy
OVL-1,Overlay drawer,P1,Auto-L3,AI host,Type PII,Drawer auto-opens with 4 tabs
